Date,Price,Change %
12/30/2021,85.62,0.00%
12/29/2021,85.62,-0.09%
12/28/2021,85.7,0.00%
12/27/2021,85.7,0.15%
12/24/2021,85.57,-0.06%
12/23/2021,85.62,-0.09%
12/22/2021,85.7,0.09%
12/21/2021,85.62,-0.09%
12/20/2021,85.7,0.39%
12/17/2021,85.37,-0.18%
12/16/2021,85.52,-0.21%
12/15/2021,85.7,0.16%
12/14/2021,85.56,-0.06%
12/13/2021,85.61,0.13%
12/10/2021,85.5,-0.19%
12/9/2021,85.66,0.11%
12/8/2021,85.57,-0.11%
12/7/2021,85.66,0.06%
12/6/2021,85.61,0.20%
12/3/2021,85.44,-0.21%
12/2/2021,85.62,0.01%
12/1/2021,85.61,0.00%
11/30/2021,85.61,-0.01%
11/29/2021,85.62,-0.02%
11/26/2021,85.64,-0.17%
11/25/2021,85.79,0.11%
11/24/2021,85.7,0.12%
11/23/2021,85.6,-0.01%
11/22/2021,85.61,-0.63%
11/19/2021,86.155,0.68%
11/18/2021,85.57,0.01%
11/17/2021,85.56,-0.16%
11/16/2021,85.7,-0.10%
11/15/2021,85.79,0.26%
11/12/2021,85.57,-0.21%
11/11/2021,85.75,0.11%
11/10/2021,85.66,0.12%
11/9/2021,85.56,-0.04%
11/8/2021,85.59,0.23%
11/5/2021,85.39,-0.21%
11/4/2021,85.57,0.05%
11/3/2021,85.53,-0.08%
11/2/2021,85.6,0.15%
11/1/2021,85.47,0.07%
10/29/2021,85.41,-0.18%
10/28/2021,85.56,0.06%
10/27/2021,85.51,-0.05%
10/26/2021,85.55,0.08%
10/25/2021,85.48,0.26%
10/22/2021,85.26,-0.27%
10/21/2021,85.49,0.27%
10/20/2021,85.26,-0.11%
10/19/2021,85.35,-0.12%
10/18/2021,85.45,0.45%
10/15/2021,85.07,-0.33%
10/14/2021,85.35,0.01%
10/13/2021,85.34,0.12%
10/12/2021,85.24,-0.36%
10/11/2021,85.55,0.41%
10/8/2021,85.2,-0.20%
10/7/2021,85.37,-0.11%
10/6/2021,85.46,-0.08%
10/5/2021,85.53,0.34%
10/4/2021,85.24,-0.02%
10/1/2021,85.26,-0.40%
9/30/2021,85.6,0.36%
9/29/2021,85.29,0.24%
9/28/2021,85.09,0.40%
9/27/2021,84.75,0.17%
9/24/2021,84.61,-0.35%
9/23/2021,84.91,-0.32%
9/22/2021,85.18,0.24%
9/21/2021,84.98,0.41%
9/20/2021,84.63,-0.13%
9/17/2021,84.74,-0.60%
9/16/2021,85.25,0.60%
9/15/2021,84.74,-0.54%
9/14/2021,85.2,0.26%
9/13/2021,84.98,0.58%
9/10/2021,84.49,-0.38%
9/9/2021,84.81,0.00%
9/8/2021,84.81,0.32%
9/7/2021,84.54,-0.72%
9/6/2021,85.15,0.20%
9/2/2021,84.98,0.40%
9/1/2021,84.64,-0.46%
8/31/2021,85.03,0.40%
8/30/2021,84.69,-0.26%
8/27/2021,84.91,-0.40%
8/26/2021,85.25,0.54%
8/25/2021,84.79,0.06%
8/24/2021,84.74,-0.08%
8/23/2021,84.81,0.39%
8/20/2021,84.48,-0.47%
8/19/2021,84.88,0.35%
8/18/2021,84.58,0.00%
8/17/2021,84.58,0.26%
8/16/2021,84.36,0.33%
8/13/2021,84.08,-0.20%
8/12/2021,84.25,-0.09%
8/11/2021,84.33,-0.17%
8/10/2021,84.47,-0.01%
8/9/2021,84.48,0.37%
8/6/2021,84.17,-0.05%
8/5/2021,84.21,-0.71%
8/3/2021,84.81,0.01%
